Location, Size, Price, Mortgage (Monthly)
70 Pleasantview Ave North End  Bridgeport  CT,1 072 sqft,$279900,1400
382 Catherine St Hollow  Bridgeport  CT,2 005 sqft,$279900,1400
382 Catherine St Hollow  Bridgeport  CT,2 005 sqft,$279900,1400
521 Hawley Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 642 sqft,$279900,1400
1397 Park Ave West Side/ West End  Bridgeport  CT,3 244 sqft,$280000,1400
105 Broadway North End  Bridgeport  CT,1 696 sqft,$279900,1400
84 Temple St Stratford  CT,2 028 sqft,$280000,1400
3200 Madison Ave #D3 North End  Bridgeport  CT,1 343 sqft,$229000,1414
3200 Madison Ave #28 North End  Bridgeport  CT,1 343 sqft,$229900,1419
325 Ruth St North End  Bridgeport  CT,1 326 sqft,$285000,1424
248 Hansen Ave Black Rock  Bridgeport  CT,1 280 sqft,$285000,1424
166 Laurel Ave West Side/ West End  Bridgeport  CT,2 694 sqft,$285000,1424
111 Oakleaf St Resevoir  Bridgeport  CT,1 200 sqft,$285000,1424
545 Carroll Ave East End  Bridgeport  CT,2 583 sqft,$285000,1424
111 Oakleaf St Resevoir  Bridgeport  CT,1 200 sqft,$285000,1424
51 Elm Ct North End  Bridgeport  CT,1 287 sqft,$289000,1443
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447
74 Roger Williams Rd Bridgeport  CT,1 152 sqft,$289900,1447
151 Leonard Dr North End  Bridgeport  CT,1 104 sqft,$289900,1447
281 Lincoln Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 197 sqft,$290000,1447
64 Beachview Ave Black Rock  Bridgeport  CT,2 208 sqft,$289900,1447
79 Seltsam Rd Resevoir  Bridgeport  CT,1 492 sqft,$289900,1447
60 Renwick Pl Brooklawn/ St. Vincent's  Bridgeport  CT,1 116 sqft,$289900,1447
77 Shirley Dr Stratford  CT,1 224 sqft,$289900,1447
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447
765 Birmingham St North End  Bridgeport  CT,1 094 sqft,$295000,1471
51 Ameridge Dr #51 North End  Bridgeport  CT,1 268 sqft,$215000,1474
51 Ameridge Dr #51 North End  Bridgeport  CT,1 268 sqft,$215000,1474
121 Denver Ave West Side/ West End  Bridgeport  CT,2 254 sqft,$297000,1481
485 Glendale Ave #1 North End  Bridgeport  CT,1 078 sqft,$215000,1487
920 Platt St North End  Bridgeport  CT,1 352 sqft,$299000,1490
24 McKinley Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 716 sqft,$299000,1490
2335 Madison Ave North End  Bridgeport  CT,1 360 sqft,$299000,1490
119 Dewey St West Side/ West End  Bridgeport  CT,1 191 sqft,$299000,1490
10 Cottage Pl South End  Bridgeport  CT,1 828 sqft,$299000,1490
40 Lorraine St Brooklawn/ St. Vincent's  Bridgeport  CT,1 476 sqft,$299000,1490
437 East Ave Mill Hill  Bridgeport  CT,1 512 sqft,$299000,1490
273 Hanover St West Side/ West End  Bridgeport  CT,2 920 sqft,$299900,1494
273 Hanover St West Side/ West End  Bridgeport  CT,2 920 sqft,$299900,1494
68 Dover St Mill Hill  Bridgeport  CT,2 539 sqft,$299900,1494
56 Judson Pl Mill Hill  Bridgeport  CT,1 200 sqft,$299900,1494
266 Seaview Ave East End  Bridgeport  CT,3 497 sqft,$299999,1495
266 Seaview Ave East End  Bridgeport  CT,3 497 sqft,$299999,1495
3250 Fairfield Ave #229 Black Rock  Bridgeport  CT,1 145 sqft,$225900,1510
21 Indian Field Rd North End  Bridgeport  CT,1 100 sqft,$304900,1518
21 Indian Field Rd North End  Bridgeport  CT,1 100 sqft,$304900,1518
3250 Fairfield Ave #134 Black Rock  Bridgeport  CT,1 145 sqft,$229000,1525
38 Pearl Harbor Cir Mill Hill  Bridgeport  CT,1 924 sqft,$309000,1537
752 Beechwood Ave West Side/ West End  Bridgeport  CT,1 718 sqft,$309000,1537
34 Seaver Cir North End  Bridgeport  CT,1 555 sqft,$309900,1542
162 Priscilla St Bridgeport  CT,1 674 sqft,$309900,1542
34 Seaver Cir North End  Bridgeport  CT,1 555 sqft,$309900,1542
34 Seaver Cir North End  Bridgeport  CT,1 555 sqft,$309900,1542
338 Pearl Harbor St Mill Hill  Bridgeport  CT,1 700 sqft,$310000,1543
82 Barclay St Bridgeport  CT,1 267 sqft,$310000,1543
246 Soundview Ave Resevoir  Bridgeport  CT,1 282 sqft,$315000,1566
