Location, Size, Price, Mortgage (Monthly), , , Listing Link
390 Charles St #119 Brooklawn/ St. Vincent's  Bridgeport  CT,930 sqft,$154000,1142,,,https://www.trulia.com/p/ct/bridgeport/390-charles-st-119-bridgeport-ct-06606--2005434664
390 Charles St #119 Brooklawn/ St. Vincent's  Bridgeport  CT,930 sqft,$154000,1142,,,https://www.trulia.com/p/ct/bridgeport/390-charles-st-119-bridgeport-ct-06606--2005434664
199 Cherry Hill Dr #2A North End  Bridgeport  CT,850 sqft,$159999,1152,,,https://www.trulia.com/p/ct/bridgeport/199-cherry-hill-dr-2a-bridgeport-ct-06606--2005429659
199 Cherry Hill Dr #2A North End  Bridgeport  CT,850 sqft,$159999,1152,,,https://www.trulia.com/p/ct/bridgeport/199-cherry-hill-dr-2a-bridgeport-ct-06606--2005429659
2625 Park Ave #2B Brooklawn/ St. Vincent's  Bridgeport  CT,823 sqft,$129000,1157,,,https://www.trulia.com/p/ct/bridgeport/2625-park-ave-2b-bridgeport-ct-06604--2005416079
480 East Ave Mill Hill  Bridgeport  CT,1 252 sqft,$229900,1164,,,https://www.trulia.com/p/ct/bridgeport/480-east-ave-bridgeport-ct-06610--2005450933
2625 Park Ave #5B Brooklawn/ St. Vincent's  Bridgeport  CT,823 sqft,$135000,1167,,,https://www.trulia.com/p/ct/bridgeport/2625-park-ave-5b-bridgeport-ct-06604--2005416127
48 Yarrington Ct East End  Bridgeport  CT,1 187 sqft,$185000,1176,,,https://www.trulia.com/p/ct/bridgeport/48-yarrington-ct-bridgeport-ct-06607--2005442556
2812 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$164999,1176,,,https://www.trulia.com/p/ct/bridgeport/2812-madison-ave-2a-bridgeport-ct-06606--2005431909
78 Rowsley St #3 Black Rock  Bridgeport  CT,750 sqft,$134900,1195,,,https://www.trulia.com/p/ct/bridgeport/78-rowsley-st-3-bridgeport-ct-06605--2206828785
92 Grant St Mill Hill  Bridgeport  CT,1 063 sqft,$239000,1207,,,https://www.trulia.com/p/ct/bridgeport/92-grant-st-bridgeport-ct-06610--2005452377
228 Deforest Ave East End  Bridgeport  CT,1 661 sqft,$239900,1211,,,https://www.trulia.com/p/ct/bridgeport/228-deforest-ave-bridgeport-ct-06607--2005441766
333 Vincellette St #54 North End  Bridgeport  CT,1 184 sqft,$165000,1230,,,https://www.trulia.com/p/ct/bridgeport/333-vincellette-st-54-bridgeport-ct-06606--2005433429
168 Pixlee Pl Mill Hill  Bridgeport  CT,1 156 sqft,$245000,1235,,,https://www.trulia.com/p/ct/bridgeport/168-pixlee-pl-bridgeport-ct-06610--2005447913
55 Nash Ln #6 Black Rock  Bridgeport  CT,750 sqft,$144900,1242,,,https://www.trulia.com/p/ct/bridgeport/55-nash-ln-6-bridgeport-ct-06605--2005423896
333 Vincellette St #58 North End  Bridgeport  CT,1 152 sqft,$169900,1245,,,https://www.trulia.com/p/ct/bridgeport/333-vincellette-st-58-bridgeport-ct-06606--2005433433
1 Armstrong Pl Bridgeport  CT,2 411 sqft,$249000,1254,,,https://www.trulia.com/p/ct/bridgeport/1-armstrong-pl-bridgeport-ct-06608--1010633839
95 Austin St South End  Bridgeport  CT,1 284 sqft,$249900,1258,,,https://www.trulia.com/p/ct/bridgeport/95-austin-st-bridgeport-ct-06604--2005419622
45 Palmer St North End  Bridgeport  CT,1 152 sqft,$249900,1258,,,https://www.trulia.com/p/ct/bridgeport/45-palmer-st-bridgeport-ct-06606--1063747683
